institution,location,size,focus,research,age,QS2023 Academic Reputation,QS2023 Employer Reputation,QS2023 Faculty Student Ratio,QS2023 Citations per Faculty,QS2023 International Faculty Ratio,QS2023 International Student Ratio,QS2023 International Research Network,QS2023 Employment Outcomes,QS2022 Academic Reputation,QS2022 Employer Reputation,QS2022 Faculty Student Ratio,QS2022 Citations per Faculty,QS2022 International Faculty Ratio,QS2022 International Student Ratio,THE2020 Teaching,THE2020 International,THE2020 Research,THE2020 Citations,THE2020 Income,THE2020 Overall Score,Number of Students,Student Staff Ratio,International Student Proportion
Massachusetts Institute of Technology (MIT) ,United States,5000-12000 Students,Comprehensive,Very High,100+ Years,100,100,100,100,100,90,96.1,100,100,100,100,100,100,91.4,,,,,,,,,
University of Cambridge,United Kingdom,12000-30000 Students,Fully Comprehensive,Very High,100+ Years,100,100,100,92.3,100,96.3,99.5,100,100,100,100,92.1,100,97.7,91.4,95,98.7,95.8,59.3,94.4,18978,10.9,0.37
Stanford University,United States,12000-30000 Students,Fully Comprehensive,Very High,100+ Years,100,100,100,99.9,99.8,60.3,96.3,100,100,100,100,99.9,99.8,67,92.8,79.5,96.4,99.9,66.2,94.3,16135,7.3,0.23
University of Oxford,United Kingdom,12000-30000 Students,Fully Comprehensive,Very High,100+ Years,100,100,100,90,98.8,98.4,99.9,100,100,100,100,96,99.5,98.5,90.5,96.4,99.6,98.4,65.5,95.4,20664,11.2,0.41
Harvard University,United States,12000-30000 Students,Fully Comprehensive,Very High,100+ Years,100,100,99.4,100,76.9,66.9,100,100,100,100,99.1,100,84.2,70.1,89.2,76.3,98.6,99.1,47.3,93,20823,9.2,0.24
California Institute of Technology (Caltech),United States,<5000 Students,Comprehensive,Very High,100+ Years,96.5,87.1,100,100,99.8,85.1,73,98.8,96.7,89.9,100,100,99.4,87.7,,,,,,,,,
Imperial College London,United Kingdom,12000-30000 Students,Fully Comprehensive,Very High,100+ Years,98.3,99.7,99.5,86.5,100,100,98.1,88.8,98.4,99.8,99.8,88.1,100,100,84.5,97.1,87.6,97,69.9,89.8,16760,11.7,0.56
UCL,United Kingdom,>30000 Students,Fully Comprehensive,Very High,100+ Years,99.4,98.6,97.6,77,99.2,100,100,90.3,99.4,98.9,99,78,99.5,100,77.8,96.2,88.7,96.1,42.7,87.1,32665,10.6,0.52
ETH Zurich - Swiss Federal Institute of Technology,Switzerland,12000-30000 Students,Comprehensive,Very High,100+ Years,98.6,91.3,74.2,99.2,100,98,96.2,91.1,98.7,95.3,80.4,99.8,100,98.2,,,,,,,,,
University of Chicago,United States,12000-30000 Students,Fully Comprehensive,Very High,100+ Years,99.2,92.2,92.9,86.8,81.6,76,89.6,98.2,99.2,93.5,95.5,90.6,71.9,84.9,,,,,,,,,
National University of Singapore (NUS),Singapore,>30000 Students,Fully Comprehensive,Very High,25-49 Years,99.5,94.1,79.8,91.8,100,73.5,89.9,99.6,99.6,97.1,86.8,90.6,100,70.3,,,,,,,,,
Peking University,China (Mainland),>30000 Students,Fully Comprehensive,Very High,100+ Years,99.3,96.5,87.3,96.7,57.1,36.9,77.5,91.4,99.4,98.2,83.5,89.5,45.6,38.5,89.1,59.6,90,73.2,86.6,82.3,39575,11.5,0.15
University of Pennsylvania,United States,12000-30000 Students,Fully Comprehensive,Very High,100+ Years,96.5,92.5,99.9,70.9,96.2,66.1,93.3,100,96.2,93.8,100,74,94.1,58.1,87.5,65,90.4,98.2,74,89.6,20578,6.5,0.21
Tsinghua University,China (Mainland),>30000 Students,Fully Comprehensive,Very High,50-99 Years,98.9,97.7,92.8,98.1,16.7,25.7,75.5,87.1,98.6,97.6,90.6,96,15.3,26.3,86.6,47.4,94,74.6,100,82.6,38783,12,0.11
The University of Edinburgh,United Kingdom,>30000 Students,Fully Comprehensive,Very High,100+ Years,98,97.2,81.1,70.1,98.9,99.5,98.7,54.3,98,97.3,83.5,69.5,99.3,99.6,,,,,,,,,
EPFL,Switzerland,5000-12000 Students,Focused,Very High,100+ Years,83.7,71.8,91.1,99.4,100,100,87.3,28,82.4,79.7,94.8,99.8,100,100,,,,,,,,,
Princeton University,United States,5000-12000 Students,Comprehensive,Very High,100+ Years,99.9,98.9,72.6,100,26,62.2,78.5,100,99.9,99.2,68.7,100,28.1,63.2,90.3,81.1,96.3,98.8,58.6,93.2,7983,8.1,0.25
Yale University,United States,5000-12000 Students,Fully Comprehensive,Very High,100+ Years,99.9,100,100,51.5,89.2,77.3,92,100,99.9,100,100,59.9,87.9,69.8,92,68.7,94.8,97.3,52.4,91.7,12402,5.4,0.2
"Nanyang Technological University, Singapore (NTU)",Singapore,12000-30000 Students,Fully Comprehensive,Very High,25-49 Years,90.4,76.1,83.2,94.1,100,74.1,89.6,84.6,91.1,85,89.5,95.5,100,69.6,,,,,,,,,
Cornell University,United States,12000-30000 Students,Fully Comprehensive,Very High,100+ Years,98.3,91.4,62.2,99.3,63.9,55.3,90,99.5,98.4,93.9,61.3,98.9,75.6,66.1,79.7,73.4,86,96.6,37.1,85.1,22319,9.8,0.25
The University of Hong Kong,Hong Kong SAR,12000-30000 Students,Fully Comprehensive,Very High,100+ Years,97.4,62.9,84.2,72.6,100,98.7,81.1,99,97.9,73.1,85.4,62.1,100,98.9,,,,,,,,,
The University of Hong Kong,Hong Kong SAR,12000-30000 Students,Fully Comprehensive,Very High,100+ Years,97.4,62.9,84.2,72.6,100,98.7,81.1,99,97.9,73.1,85.4,62.1,100,98.9,,,,,,,,,
Columbia University,United States,12000-30000 Students,Fully Comprehensive,Very High,100+ Years,99.7,98.1,100,47.2,47.6,94.6,98.9,99.8,99.6,98.4,100,55.6,52.7,98.4,85.6,79.3,82.6,98.2,44.8,87,26586,5.8,0.37
The University of Tokyo,Japan,12000-30000 Students,Fully Comprehensive,Very High,100+ Years,100,99.7,91.9,73.3,10.4,27.8,89.5,97.8,100,99.6,92.4,79,3.3,28.5,85.9,38.2,89.6,60.7,77.4,75.7,25913,10.6,0.12
Johns Hopkins University,United States,12000-30000 Students,Fully Comprehensive,Very High,100+ Years,87.9,47.2,100,87.3,63.6,82.9,97.7,95.3,87.6,51.6,100,89.9,55.1,91.7,81.7,73.2,91.4,98.3,91.3,89.2,16171,4.5,0.26
University of Michigan-Ann Arbor,United States,>30000 Students,Fully Comprehensive,Very High,100+ Years,98.5,91.3,88.9,62.5,71.2,33.1,96.3,96,98.6,93,90.2,70.5,63.4,34.9,79.4,59.2,86.1,94.9,47.7,83.8,42982,8.3,0.17
Université PSL,France,12000-30000 Students,Comprehensive,Very High,1-9 Years,74.4,97,99.8,84.1,59.7,83.6,99.7,53.9,75.8,95.9,99.9,55.1,57.5,70.5,,,,,,,,,
"University of California, Berkeley (UCB)",United States,>30000 Students,Fully Comprehensive,Very High,100+ Years,100,100,23.9,99.9,93.3,57.7,96.7,99.1,100,100,23.3,99.9,95.4,55.3,,,,,,,,,
The University of Manchester,United Kingdom,>30000 Students,Fully Comprehensive,Very High,100+ Years,95.1,97.7,63.1,59,93.4,99.4,98.9,66.4,95.2,98,72.5,58.1,94,99.3,,,,,,,,,
Seoul National University,South Korea,12000-30000 Students,Fully Comprehensive,Very High,50-99 Years,98.6,97.8,87,70.3,12.2,10.3,79.3,97.7,98.3,96.5,83.9,75,4,8.9,72.3,35.8,71.6,66.5,86.6,68,26182,12.4,0.12
The Australian National University,Australia,12000-30000 Students,Fully Comprehensive,Very High,50-99 Years,93.6,70.1,38,99.3,100,96,94.6,59.1,94.6,79.3,44.4,95.4,100,98.8,,,,,,,,,
 McGill University,Canada,>30000 Students,Fully Comprehensive,Very High,100+ Years,93.3,93.6,68.9,59.6,87.6,95.1,95.2,90,92.5,94.4,73.3,65.5,92.2,96.6,65,90.4,71.9,84.7,42.8,74.3,31294,13,0.29
Northwestern University,United States,12000-30000 Students,Fully Comprehensive,Very High,100+ Years,84.4,71.9,98.3,84.2,40.5,38.8,89,98.4,84.4,74.7,99.3,87.1,30,49.6,74.2,64.1,83.8,97.8,78.4,83.5,17951,12.8,0.2
The University of Melbourne,Australia,>30000 Students,Fully Comprehensive,Very High,100+ Years,98.6,94.9,17.9,95,93.1,99.8,97.6,91.1,98.9,97.3,19.9,89.7,97.1,99.9,,,,,,,,,
Fudan University,China (Mainland),>30000 Students,Fully Comprehensive,Very High,50-99 Years,83.6,93.5,89.3,70.4,89.3,38.7,70.6,65.7,84.8,89.1,91.5,71.1,93.3,45.5,61.9,44.8,58.6,68.1,58.6,61.4,32537,11.2,0.12
University of Toronto,Canada,>30000 Students,Fully Comprehensive,Very High,100+ Years,99.6,98.3,65.6,43.5,95.8,95.7,96.7,94,99.5,98.2,69.4,58.8,98.6,94.9,76.6,84.7,89.5,93.6,50.5,85.5,73370,20.1,0.21
Kyoto University,Japan,12000-30000 Students,Fully Comprehensive,Very High,100+ Years,98.6,98.9,94.8,54.2,14.9,22.1,85.5,56.9,98.7,97.8,96,60.3,5.4,22.7,73.7,33.7,78.1,59.9,66.2,67.7,22566,9,0.09
King's College London,United Kingdom,>30000 Students,Fully Comprehensive,Very High,100+ Years,88.8,83.2,74.5,60.5,98.6,100,99.3,56.9,88.9,86.2,83.4,53.9,99.2,100,,,,,,,,,
The Chinese University of Hong Kong (CUHK),Hong Kong SAR,12000-30000 Students,Fully Comprehensive,Very High,50-99 Years,87.3,49.6,60.9,92.9,100,90.5,74.9,79.4,88.8,56.7,62.6,83.2,100,91.8,,,,,,,,,
New York University (NYU),United States,>30000 Students,Fully Comprehensive,Very High,100+ Years,95.9,99,98.1,28.9,31.3,94.4,92,99.7,95.9,98.6,96.6,27.7,14.6,95.6,,,,,,,,,
The Hong Kong University of Science and Technology,Hong Kong SAR,5000-12000 Students,Comprehensive,Very High,25-49 Years,82,50.1,62.6,98.6,100,87.9,56.2,91.2,84.2,60.7,64.8,98.2,100,89.2,57.4,97.7,66.1,89.8,71.9,73.1,10125,22.3,0.31
The Hong Kong University of Science and Technology,Hong Kong SAR,5000-12000 Students,Comprehensive,Very High,25-49 Years,82,50.1,62.6,98.6,100,87.9,56.2,91.2,84.2,60.7,64.8,98.2,100,89.2,57.4,97.7,66.1,89.8,71.9,73.1,10125,22.3,0.31
The University of Sydney,Australia,>30000 Students,Fully Comprehensive,Very High,100+ Years,96.2,91.7,15.6,92.1,99.3,100,97.3,90.8,96.8,95.4,20.9,87.9,100,100,,,,,,,,,
KAIST - Korea Advanced Institute of Science & Technology,South Korea,5000-12000 Students,Comprehensive,Very High,50-99 Years,88.1,85.8,68.9,97.7,23.1,12.3,65.2,63.2,87.5,83.1,73.1,98.8,8.5,12,,,,,,,,,
Zhejiang University,China (Mainland),>30000 Students,Fully Comprehensive,Very High,50-99 Years,72.2,95.3,78.7,88.4,99.1,42.5,80.8,42.3,71.2,91.5,88,69,98.5,63,66,61.8,64.7,50.6,100,61.5,33427,10.7,0.22
"University of California, Los Angeles (UCLA)",United States,>30000 Students,Fully Comprehensive,Very High,100+ Years,100,99.9,37.7,85.9,45.1,27.5,96.3,98,100,99.9,42.5,90.5,28.9,26.7,,,,,,,,,
The University of New South Wales (UNSW Sydney),Australia,>30000 Students,Fully Comprehensive,Very High,50-99 Years,89,91.1,16.8,97.6,100,99.8,98.2,93,90.4,94.4,15.2,93.5,100,99.8,,,,,,,,,
Shanghai Jiao Tong University,China (Mainland),>30000 Students,Fully Comprehensive,Very High,50-99 Years,82.7,90.2,57.7,97.1,40.9,38.4,73.9,57.8,83.4,86.7,55.2,95.6,25,36.3,58,49.8,63,47.9,99.9,56.9,38853,11.1,0.13
University of British Columbia,Canada,>30000 Students,Fully Comprehensive,Very High,100+ Years,98,95.4,56.5,42.1,89,74.9,97.9,75.2,97.6,94.2,52.7,46.8,89.1,79,61.5,94.4,73.2,92.5,43.8,76.3,52108,18.1,0.32
